HOG	OG	Gene Tree Parent Clade	ACYPI	MYZPE	SIPHA
N1.HOG0000037	OG0000019	n0	Phy00BWX67_ACYPI	Phy007AP9C_MYZPE, Phy007APZZ_MYZPE, Phy007AZBH_MYZPE, Phy007AZVJ_MYZPE	
N1.HOG0000038	OG0000020	n0	Phy000YMMJ_ACYPI	Phy007AR1R_MYZPE	
N1.HOG0000039	OG0000021	n0	Phy00424H0_ACYPI	Phy007AYJM_MYZPE, Phy007AYRM_MYZPE, Phy007AZOB_MYZPE	
N1.HOG0000040	OG0000022	n0	Phy0042233_ACYPI, Phy00BWVQD_ACYPI	Phy007ATFF_MYZPE, Phy007AV73_MYZPE	
N1.HOG0000041	OG0000023	n0	Phy00BX2JS_ACYPI	Phy007AXT4_MYZPE	
N1.HOG0000042	OG0000024	n0	Phy00421MQ_ACYPI	Phy007AN9F_MYZPE, Phy007AWM2_MYZPE	
N1.HOG0000043	OG0000025	n0	Phy004291Q_ACYPI	Phy007AO71_MYZPE	
N1.HOG0000044	OG0000026	n0	Phy007B3L7_ACYPI	Phy007AO29_MYZPE, Phy007AVCL_MYZPE	
N1.HOG0000045	OG0000027	n0	Phy0010DA1_ACYPI	Phy007AR3X_MYZPE, Phy007AT8M_MYZPE	
N1.HOG0000046	OG0000028	n0	Phy0010HOS_ACYPI	Phy007AZAN_MYZPE	
N1.HOG0000047	OG0000029	n0	Phy00BWXTO_ACYPI	Phy007AWNL_MYZPE, Phy007AWYF_MYZPE	
N1.HOG0000048	OG0000030	n0	Phy000XQ3T_ACYPI, Phy00421EH_ACYPI	Phy007AYFN_MYZPE	
N1.HOG0000049	OG0000031	n0	Phy0010E6E_ACYPI	Phy007AQSF_MYZPE, Phy007AS04_MYZPE	
N1.HOG0000050	OG0000032	n0	Phy00BWX26_ACYPI	Phy007AVA2_MYZPE	
N1.HOG0000051	OG0000033	n0	Phy0010GP8_ACYPI, Phy00BWYA7_ACYPI	Phy007ASVN_MYZPE	
N1.HOG0000052	OG0000034	n0	Phy000XPRZ_ACYPI	Phy007ARNB_MYZPE, Phy007ATIK_MYZPE	
N1.HOG0000053	OG0000035	n0	Phy0010I74_ACYPI	Phy007AUI1_MYZPE	
N1.HOG0000054	OG0000036	n0	Phy00BWXUW_ACYPI	Phy007ANU1_MYZPE, Phy007AOYK_MYZPE	
N1.HOG0000055	OG0000037	n0	Phy000XPLI_ACYPI, Phy00420LP_ACYPI	Phy007AM2D_MYZPE	
N1.HOG0000056	OG0000038	n0	Phy00BX0U5_ACYPI, Phy00BX2LA_ACYPI	Phy007ANAB_MYZPE	
N1.HOG0000057	OG0000039	n0	Phy00BX4OU_ACYPI	Phy007AW1W_MYZPE	
N1.HOG0000058	OG0000040	n0	Phy0042B0D_ACYPI, Phy00BX2A1_ACYPI	Phy007AM3U_MYZPE	
N1.HOG0000059	OG0000041	n0	Phy0042DTH_ACYPI	Phy007AV5H_MYZPE	
N1.HOG0000060	OG0000042	n0	Phy0010HT6_ACYPI, Phy00BX2IV_ACYPI	Phy007AV0S_MYZPE	
N1.HOG0000061	OG0000043	n0	Phy0010HXC_ACYPI, Phy004255U_ACYPI	Phy007AT9I_MYZPE	
N1.HOG0000062	OG0000044	n0	Phy0042CQV_ACYPI	Phy007AUC8_MYZPE, Phy007AXR8_MYZPE	
N1.HOG0000063	OG0000045	n0	Phy00108PD_ACYPI	Phy007AVPH_MYZPE, Phy007AYJ1_MYZPE	
N1.HOG0000064	OG0000046	n0	Phy00422JE_ACYPI	Phy007APEN_MYZPE, Phy007AQTW_MYZPE	
N1.HOG0000065	OG0000047	n0	Phy0010CMB_ACYPI	Phy007AU7L_MYZPE, Phy007AYRT_MYZPE	
N1.HOG0000066	OG0000048	n0	Phy0010HB6_ACYPI	Phy007AW92_MYZPE	
N1.HOG0000067	OG0000049	n0	Phy0042AP2_ACYPI	Phy007ASIO_MYZPE, Phy007AVPE_MYZPE	
N1.HOG0000068	OG0000050	n0	Phy0010E2A_ACYPI	Phy007AOWM_MYZPE, Phy007AV1W_MYZPE	
N1.HOG0000069	OG0000051	n0	Phy00420A6_ACYPI	Phy007AQBQ_MYZPE	
N1.HOG0000070	OG0000052	n0	Phy0041ZIK_ACYPI	Phy007AO3L_MYZPE, Phy007AQ7P_MYZPE	
N1.HOG0000071	OG0000082	-	Phy00BX278_ACYPI	Phy007ATAZ_MYZPE, Phy007AMLH_MYZPE	
N1.HOG0000072	OG0000108	-	Phy00BX0X5_ACYPI	Phy007AOWQ_MYZPE, Phy007AYRP_MYZPE	
N1.HOG0000073	OG0000116	-	Phy0042515_ACYPI	Phy007AV27_MYZPE, Phy007AMP0_MYZPE	
N1.HOG0000074	OG0000147	-	Phy007B0JK_ACYPI	Phy007ANBD_MYZPE, Phy007AX0P_MYZPE	
N1.HOG0000075	OG0000165	-	Phy00BWY8I_ACYPI	Phy007AXA1_MYZPE, Phy007AZSS_MYZPE	
N1.HOG0000076	OG0000190	-	Phy00BX1OQ_ACYPI	Phy007ANHF_MYZPE, Phy007APJW_MYZPE	
N1.HOG0000077	OG0000218	-	Phy00BX00C_ACYPI	Phy007AMA4_MYZPE, Phy007ASDO_MYZPE	
N1.HOG0000078	OG0000219	-	Phy00BX3KZ_ACYPI	Phy007AMFV_MYZPE, Phy007AVZX_MYZPE	
N1.HOG0000079	OG0000226	-	Phy0010BBO_ACYPI	Phy007AVYH_MYZPE, Phy007AZ7H_MYZPE	
N1.HOG0000080	OG0000251	-	Phy00BWWCR_ACYPI	Phy007AMQ3_MYZPE, Phy007AQID_MYZPE	
N1.HOG0000081	OG0000280	-	Phy0010HY2_ACYPI	Phy007APUI_MYZPE, Phy007AQPV_MYZPE	
N1.HOG0000082	OG0000292	-	Phy00BX05E_ACYPI	Phy007AM3N_MYZPE	
N1.HOG0000083	OG0000293	-	Phy00BWXXF_ACYPI	Phy007AXIC_MYZPE	
N1.HOG0000084	OG0000294	-	Phy000YO9T_ACYPI	Phy007ANSG_MYZPE	
N1.HOG0000085	OG0000295	-	Phy0042253_ACYPI	Phy007AVAQ_MYZPE	
N1.HOG0000086	OG0000296	-	Phy004278E_ACYPI	Phy007AN8K_MYZPE	
N1.HOG0000087	OG0000297	-	Phy00BX57I_ACYPI	Phy007ARBZ_MYZPE	
N1.HOG0000088	OG0000298	-	Phy00BX56E_ACYPI	Phy007AS0D_MYZPE	
N1.HOG0000089	OG0000299	-	Phy00BX3Z1_ACYPI	Phy007ASP4_MYZPE	
N1.HOG0000090	OG0000300	-	Phy00BX54I_ACYPI	Phy007AM5F_MYZPE	
N1.HOG0000091	OG0000301	-	Phy00BX4LE_ACYPI	Phy007AT64_MYZPE	
N1.HOG0000092	OG0000302	-	Phy00BX4KD_ACYPI	Phy007AT6Q_MYZPE	
N1.HOG0000093	OG0000303	-	Phy0042EE8_ACYPI	Phy007AW5P_MYZPE	
N1.HOG0000094	OG0000304	-	Phy0042DSI_ACYPI	Phy007AP5W_MYZPE	
N1.HOG0000095	OG0000305	-	Phy00420KK_ACYPI	Phy007ATQJ_MYZPE	
N1.HOG0000096	OG0000306	-	Phy004208O_ACYPI	Phy007APBT_MYZPE	
N1.HOG0000097	OG0000307	-	Phy00BWXJF_ACYPI	Phy007AZV5_MYZPE	
N1.HOG0000098	OG0000308	-	Phy00BWW5P_ACYPI	Phy007AT6B_MYZPE	
N1.HOG0000099	OG0000309	-	Phy00BWX7F_ACYPI	Phy007AVRM_MYZPE	
N1.HOG0000100	OG0000310	-	Phy00BX1KV_ACYPI	Phy007AUDL_MYZPE	
N1.HOG0000101	OG0000311	-	Phy00BX0RJ_ACYPI	Phy007AO8I_MYZPE	
N1.HOG0000102	OG0000312	-	Phy0010HNK_ACYPI	Phy007ATBC_MYZPE	
N1.HOG0000103	OG0000313	-	Phy00BX2V7_ACYPI	Phy007ATT1_MYZPE	
N1.HOG0000104	OG0000314	-	Phy00BX3C9_ACYPI	Phy007AP3W_MYZPE	
N1.HOG0000105	OG0000315	-	Phy0042AQC_ACYPI	Phy007ASWR_MYZPE	
N1.HOG0000106	OG0000316	-	Phy00BWVCY_ACYPI	Phy007AQ6Y_MYZPE	
N1.HOG0000107	OG0000317	-	Phy00BX4WS_ACYPI	Phy007AW3P_MYZPE	
N1.HOG0000108	OG0000318	-	Phy0042F1O_ACYPI	Phy007ARGX_MYZPE	
N1.HOG0000109	OG0000319	-	Phy000XQ56_ACYPI	Phy007ALSG_MYZPE	
N1.HOG0000110	OG0000320	-	Phy0042B2O_ACYPI	Phy007AVQL_MYZPE	
N1.HOG0000111	OG0000321	-	Phy00105WP_ACYPI	Phy007APS8_MYZPE	
N1.HOG0000112	OG0000322	-	Phy00BWXTH_ACYPI	Phy007ATV6_MYZPE	
N1.HOG0000113	OG0000323	-	Phy000XPU2_ACYPI	Phy007ATZU_MYZPE	
N1.HOG0000114	OG0000324	-	Phy0042885_ACYPI	Phy007ATGD_MYZPE	
N1.HOG0000115	OG0000325	-	Phy00BWW7P_ACYPI	Phy007AY8F_MYZPE	
N1.HOG0000116	OG0000326	-	Phy00BWW2L_ACYPI	Phy007AMKW_MYZPE	
N1.HOG0000117	OG0000327	-	Phy00BX2YE_ACYPI	Phy007ATRT_MYZPE	
N1.HOG0000118	OG0000328	-	Phy0010H5J_ACYPI	Phy007ALVA_MYZPE	
N1.HOG0000119	OG0000329	-	Phy00BWYE5_ACYPI	Phy007AX9A_MYZPE	
N1.HOG0000120	OG0000330	-	Phy0010GEE_ACYPI	Phy007AWFN_MYZPE	
N1.HOG0000121	OG0000331	-	Phy0010GIW_ACYPI	Phy007AUDO_MYZPE	
N1.HOG0000122	OG0000332	-	Phy0042035_ACYPI	Phy007AWG0_MYZPE	
N1.HOG0000123	OG0000333	-	Phy00BWZ8B_ACYPI	Phy007AX06_MYZPE	
N1.HOG0000124	OG0000334	-	Phy0010D7K_ACYPI	Phy007AMBB_MYZPE	
N1.HOG0000125	OG0000335	-	Phy00BX05B_ACYPI	Phy007AWF3_MYZPE	
N1.HOG0000126	OG0000336	-	Phy00BWWQT_ACYPI	Phy007AXI3_MYZPE	
N1.HOG0000127	OG0000337	-	Phy00422NR_ACYPI	Phy007AR55_MYZPE	
N1.HOG0000128	OG0000338	-	Phy00BX0V9_ACYPI	Phy007AM4K_MYZPE	
N1.HOG0000129	OG0000339	-	Phy0010CPR_ACYPI	Phy007AQ3V_MYZPE	
N1.HOG0000130	OG0000340	-	Phy0042AIR_ACYPI	Phy007AV9O_MYZPE	
N1.HOG0000131	OG0000341	-	Phy0042B2G_ACYPI	Phy007ASLM_MYZPE	
N1.HOG0000132	OG0000342	-		Phy007AOM0_MYZPE, Phy007AS4V_MYZPE	
